CELL_LINE,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO
BDLD_73,cl323,CHARMS-BDLD_73,SAMPLE,,#A6529A,50
EDLD_1,cl375,CHARMS-EDLD_1,SAMPLE,,#A6529A,51
EDLD_2,cl376,CHARMS-EDLD_2,SAMPLE,,#A6529A,52
EDLD_3,cl377,CHARMS-EDLD_3,SAMPLE,,#A6529A,53
EDLD_4,cl378,CHARMS-EDLD_4,SAMPLE,,#A6529A,54
EDLD_5,cl379,CHARMS-EDLD_5,SAMPLE,,#A6529A,55
EDLD_6,cl380,CHARMS-EDLD_6,SAMPLE,,#A6529A,56
EDLD_7,cl381,CHARMS-EDLD_7,SAMPLE,,#A6529A,57
EDLD_8,cl382,CHARMS-EDLD_8,SAMPLE,,#A6529A,58
EDLD_9,cl383,CHARMS-EDLD_9,SAMPLE,,#A6529A,59
EDLD_10,cl384,CHARMS-EDLD_10,SAMPLE,,#A6529A,60
EDLD_11,cl385,CHARMS-EDLD_11,SAMPLE,,#A6529A,61
EDLD_12,cl386,CHARMS-EDLD_12,SAMPLE,,#A6529A,62
EDLD_13,cl387,CHARMS-EDLD_13,SAMPLE,,#A6529A,63
EDLD_14,cl388,CHARMS-EDLD_14,SAMPLE,,#A6529A,64
EDLD_15,cl389,CHARMS-EDLD_15,SAMPLE,,#A6529A,65
EDLD_16,cl390,CHARMS-EDLD_16,SAMPLE,,#A6529A,66
EDLD_17,cl391,CHARMS-EDLD_17,SAMPLE,,#A6529A,67
EDLD_18,cl392,CHARMS-EDLD_18,SAMPLE,,#A6529A,68
EDLD_19,cl393,CHARMS-EDLD_19,SAMPLE,,#A6529A,69
EDLD_20,cl394,CHARMS-EDLD_20,SAMPLE,,#A6529A,70
EDLD_21,cl395,CHARMS-EDLD_21,SAMPLE,,#A6529A,71
EDLD_22,cl396,CHARMS-EDLD_22,SAMPLE,,#A6529A,72
EDLD_23,cl397,CHARMS-EDLD_23,SAMPLE,,#A6529A,73
FKBP+eth,,FKBP+eth,SAMPLE,,#A6529A,74
FKBP + 0.5,,FKBP + 0.5,SAMPLE,,#A6529A,75
FKBP+5,,FKBP+5,SAMPLE,,#A6529A,76
FKBP+50,,FKBP+50,SAMPLE,,#A6529A,77
FKBP+500,,FKBP+500,SAMPLE,,#A6529A,78
370,cl422,Mϕ-CHARMS-MyD88,SAMPLE,differentiated from cl370,#A6529A,79
371,cl423,Mϕ-CHARMS-MyD88-3xAla,SAMPLE,differentiated from cl371,#A6529A,80
