ID,col,construct,cell line no,pMJTL,Conc. [ng/µL],Conc. [µg/µL],Volume needed (need 6.3 total µg plasmid DNA + 2.1 µg Plasmid),NOTE,260/280,Transduction Date,Transfection Date,FACS Date,FACS Yield,FROZEN DATE,TIRF LCI DATE #1,TIRF LCI DATE #2,TIRF LCI DATE #3,TIRF RelA DATE,ELISA #1 DATE,ELISA #2 DATE,ELISA #3 DATE,ELISA #4 DATE,ELISA #5 DATE,ELISA #6 DATE,ELISA ASSAY DATE,ELISA ASSAY DATE 2,FRAP DATE,STATUS,NAME_2
BDLD_10,B,pHRdSV_BDLD_10_TIR_IRAK1_t6bd_GFP,cl320,pMJTL688,499.11,0.49911,4.207489331,,,20230514,20230516,20230523,50.000,20230529,20230602,,,,20230605,20230614,20230616,20230618,,,20230621,,,,BDLD_10
BDLD_62,A,pHRdSV_BDLD_62_TIR_IRAK1_t6bd_GFP,cl318,pMJTL702,430.35,0.43035,4.8797490415,,,20230514,20230516,20230523,360.000,20230526,20230602,20230616,,,20230605,20230614,20230616,20230618,,,20230621,,,,BDLD_62
psPAX2 (packaging DNA),-,-,-,,-,1.3763,1.5258301242,new batch fr/ Paulina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,psPAX2 (packaging DNA)
pMD2.G (envelope DNA),-,-,-,,-,1.5568,1.3489208633,new batch fr/ Paulina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,pMD2.G (envelope DNA)
BDLD_46,B,pHRdSV_BDLD_46_TIR_IRAK1_t6bd_GFP,cl324,pMJTL698,359.5,0.3595,5.8414464534,,,20230523,20230526,20230601,,20230609,20230616,,,,20230620,20230622,20230627,,,,20230704,,,,BDLD_46
BDLD_57,A,pHRdSV_BDLD_57_TIR_IRAK1_t6bd_GFP,cl321,pMJTL700,396.63,0.39663,5.2946070645,,,20230523,20230526,20230601,,20230609,20230602,20230616,20230623,,20230614,20230616,20230618,20240229,20240301,20240302,20230621,20240304,20230713,RESCUE,BDLD_57
BDLD_7,B,pHRdSV_BDLD_7_TIR_IRAK1_t6bd_GFP,cl325,pMJTL687,444.8,0.4448,4.7212230216,,,20230523,20230526,20230601,,20230609,20230619,,,,20230620,20230622,20230627,,,,20230704,,,,BDLD_7
BDLD_69,B,pHRdSV_BDLD_69_TIR_IRAK1_t6bd_GFP,cl326,pMJTL704,305.42,0.30542,6.8757776177,,,20230523,20230526,20230601,,20230609,20230619,,,,20230620,20230622,20230627,,,,20230704,,,,BDLD_69
psPAX2 (packaging DNA),-,-,-,,-,1.3763,1.5258301242,new batch fr/ Paulina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,psPAX2 (packaging DNA)
pMD2.G (envelope DNA),-,-,-,,-,1.5568,1.3489208633,new batch fr/ Paulina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,pMD2.G (envelope DNA)
BDLD_67,A,pHRdSV_BDLD_67_TIR_IRAK1_t6bd_GFP,cl327,pMJTL703,2317.8,2.3178,0.9060315817,,1.85,20230601,20230604,20230612,8.5e+10,20230615,20230616,20230619,20230623,,20230621,20230622,20230623,20230627,,,20230704,,,,BDLD_67
psPAX2 (packaging DNA),-,-,-,,-,1.3763,1.5258301242,new batch fr/ Paulina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,psPAX2 (packaging DNA)
pMD2.G (envelope DNA),-,-,-,,-,1.5568,1.3489208633,new batch fr/ Paulina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,pMD2.G (envelope DNA)
BDLD_6,A,pHRdSV_BDLD_6_TIR_IRAK1_t6bd_GFP,cl328,pMJTL686,1048.1,1.048,2.0038167939,41µl (black point tube),1.88,20230609,20230611,20230615,3.8e+5,20230619,20230619,20230623,,,20230621,20230622,20230623,20230627,,,20230704,,,RESCUE,BDLD_6
BDLD_22,B,pHRdSV_BDLD_22_TIR_IRAK1_t6bd_GFP,cl329,pMJTL693,614.4,0.6144,3.41796875,3µl (black point tube),1.88,20230609,20230611,20230615,1e+5,20230621,20230619,,,,,,,,,,,,,,BDLD_22
BDLD_23,A,pHRdSV_BDLD_23_TIR_IRAK1_t6bd_GFP,cl330,pMJTL694,1543.9,1.5439,1.3601917223,2x80µl,1.83,20230609,20230611,20230615,1.7e+5,20230621,20230619,,,,,,,,,,,,,,BDLD_23
BDLD_24,A,pHRdSV_BDLD_24_TIR_IRAK1_t6bd_GFP,cl331,pMJTL695,957.1,0.9571,2.1941280953,10µl  (black point tube),1.88,20230609,20230611,20230615,1.3e+5,20230621,20230619,,,,,,,,,,,,,,BDLD_24
psPAX2 (packaging DNA),-,-,-,,-,1.3763,1.5258301242,new batch fr/ Paulina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,psPAX2 (packaging DNA)
pMD2.G (envelope DNA),-,-,-,,-,1.5568,1.3489208633,new batch fr/ Paulina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,pMD2.G (envelope DNA)
BDLD_38,B,pHRdSV_BDLD_38_TIR_IRAK1_t6bd_GFP,cl338,pMJTL697,1808.4,1.8084,1.1612475116,2x80µl,1.85,20231114,20231116,20231120,3.8e+5,20231125,20231201,,,,20231128,20231129,20231130,,,,20240304,,,,BDLD_38
BDLD_74,A,pHRdSV_BDLD_74_TIR_IRAK1_t6bd_GFP,cl337,pMJTL706,2200.6,2.2006,0.9542851949,2x80µl,1.85,20231114,20231116,20231120,3.6e+5,20231125,20231201,,,,,,,,,,,,,,BDLD_74
psPAX2 (packaging DNA),-,-,-,,-,1.3763,1.5258301242,new batch fr/ Paulina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,psPAX2 (packaging DNA)
pMD2.G (envelope DNA),-,-,-,,-,1.5568,1.3489208633,new batch fr/ Paulina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,pMD2.G (envelope DNA)
BDLD_11,A,pHRdSV_BDLD_11_TIR_IRAK1_t6bd_GFP,cl332,pMJTL689,2071.7,2.0717,1.013660279,NA,NA,20231024,20231027,20231106,8e+5,20231114,20231201,,,,20231128,20231129,20231130,,,,20240304,,,,BDLD_11
BDLD_16,B,pHRdSV_BDLD_16_TIR_IRAK1_t6bd_GFP,cl335,pMJTL692,1137.5,1.1375,1.8461538462,NA,1.88,20231024,20231027,20231106,3.3e+5,20231115,20231201,,,,20231128,20231129,20231130,,,,20240304,,,,BDLD_16
BDLD_58,B,pHRdSV_BDLD_58_TIR_IRAK1_t6bd_GFP,cl333,pMJTL701,991.4,0.9914,2.1182166633,NA,1.89,20231024,20231027,20231106,8e+5,20231114,20231201,,,,20231128,20231129,20231130,,,,20240304,,,RESCUE,BDLD_58
BDLD_80,-,pHRdSV_BDLD_80_TIR_IRAK1_t6bd_GFP,cl336,pMJTL707,340,0.340,6.1764705882,NA,-,20231024,20231027,20231106,4.7e+5,20231115,20231201,,,,,,,,,,,,,,BDLD_80
BDLD_82,-,pHRdSV_BDLD_82_TIR_IRAK1_t6bd_GFP,cl334,pMJTL708,339,0.339,6.1946902655,NA,-,20231024,20231027,20231106,7.8e+5,20231114,20231201,,,,,,,,,,,,,,BDLD_82
psPAX2 (packaging DNA),-,-,-,,-,1.3763,1.5258301242,new batch fr/ Paulina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,psPAX2 (packaging DNA)
pMD2.G (envelope DNA),-,-,-,,-,1.5568,1.3489208633,new batch fr/ Paulina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,pMD2.G (envelope DNA)
